ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
146,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"In a desperate attempt to save his own life, Ashlocke revives an ancient Egyptian alchemist who poses a lethal threat to the Mutant X team.",6.8,Bad
147,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan and the Mutant X team join forces with a time traveling mutant to defuse a bomb threatening devastating consequences.,6.0,Bad
148,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team struggle to disempower a military colonel who has threatened to unleash a nuclear holocaust.,6.0,Bad
149,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,Adam is framed for murder by a New Mutant with the ability to steal people's memories.,6.2,Bad
150,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan battles with a Guardian of the Prophecy to stop the late mutant Ashlocke's plan from beyond the grave of world domination.,6.0,Bad
151,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Shalimar gets into difficulties when the team encounter a Cold War-era mutant with the ability to alter reality and destroy people's minds.,6.0,Bad
152,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team help the crew of an ocean research station threatened by a prehistoric creature - previously thought to be extinct.,6.1,Bad
153,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X comes to the aid of a teenager New Mutant pursued by Russians - she holds the secret to a new weapon that targets mutants.,6.0,Bad
154,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team is called in to investigate bizarre activities occurring at a local hospital.,5.6,Bad
155,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Three extraterrestrials who pose a serious threat to humanity target Shalimar, so the team set out to save her from their evil clutches.",6.7,Bad
